书名,作者,翻译者,出版社,出版时间,价格,评分,评价人数,豆瓣点评
红楼梦,[清] 曹雪芹 著 ,无翻译者, 人民文学出版社 , 1996-12 , 59.70元,9.6,271705,都云作者痴，谁解其中味？
活着,余华 ,无翻译者, 作家出版社 , 2012-8-1 , 20.00元,9.4,448729,生的苦难与伟大
百年孤独,[哥伦比亚] 加西亚·马尔克斯 , 范晔 , 南海出版公司 , 2011-6 , 39.50元,9.2,275605,魔幻现实主义文学代表作
1984,[英] 乔治·奥威尔 , 刘绍铭 , 北京十月文艺出版社 , 2010-4-1 , 28.00,9.3,134483,栗树荫下，我出卖你，你出卖我
飘,[美国] 玛格丽特·米切尔 , 李美华 , 译林出版社 , 2000-9 , 40.00元,9.3,148808,革命时期的爱情，随风而逝
三体全集,刘慈欣 ,无翻译者, 重庆出版社 , 2012-1-1 , 168.00元,9.4,33830,地球往事三部曲
三国演义（全二册）,[明] 罗贯中 ,无翻译者, 人民文学出版社 , 1998-05 , 39.50元,9.2,114114,是非成败转头空
白夜行,[日] 东野圭吾 , 刘姿君 , 南海出版公司 , 2013-1-1 , 39.50元,9.1,235158,一宗离奇命案牵出跨度近20年步步惊心的故事
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 ,无翻译者, 1981-8 , 53.00元,68.00元,9.2,86487,名侦探的代名词
动物农场,[英] 乔治·奥威尔 , 荣如德 , 上海译文出版社 , 2007-3 , 10.00元,9.2,82101,太阳底下并无新事
小王子,[法] 圣埃克苏佩里 , 马振聘 , 人民文学出版社 , 2003-8 , 22.00元,9.0,546058,献给长成了大人的孩子们
房思琪的初恋乐园,林奕含 ,无翻译者, 北京联合出版公司 , 2018-1 , 45.00元,9.2,153998,向死而生的文学绝唱
天龙八部,金庸 ,无翻译者, 生活.读书.新知三联书店 , 1994-5 , 96.0,9.1,97465,有情皆孽，无人不冤
撒哈拉的故事,三毛 ,无翻译者, 哈尔滨出版社 , 2003-8 , 15.80元,9.2,62595,游荡的自由灵魂
安徒生童话故事集,（丹麦）安徒生 , 叶君健 , 人民文学出版社 , 1997-08 , 25.00元,9.2,81625,为了争取未来的一代
哈利•波特,J.K.罗琳 (J.K.Rowling) ,无翻译者, 人民文学出版社 , 2008-12-1 , 498.00元,9.7,11196,从9¾站台开始的旅程
人类简史,[以色列] 尤瓦尔·赫拉利 , 林俊宏 , 中信出版社 , 2014-11 , CNY 68.00,9.1,121770,跟着人类一同走过十万年
沉默的大多数,王小波 ,无翻译者, 中国青年出版社 , 1997-10 , 27.00元,9.1,93454,沉默是沉默者的通行证
围城,钱锺书 ,无翻译者, 人民文学出版社 , 1991-2 , 19.00,8.9,357304,幽默的语言和对生活深刻的观察
平凡的世界（全三部）,路遥 ,无翻译者, 人民文学出版社 , 2005-1 , 64.00元,9.0,238029,中国当代城乡生活全景
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 , 杨玲 , 南海出版公司 , 2012-9-1 , 39.50元,9.0,170981,义无反顾地直达爱情的核心
明朝那些事儿（1-9）,当年明月 ,无翻译者, 中国海关出版社 , 2009-4 , 358.20元,9.1,74930,不拘一格的历史书写
局外人,[法] 阿尔贝·加缪 , 柳鸣九 , 上海译文出版社 , 2010-8 , 22.00元,9.0,116340,人生在世，永远也不该演戏作假
笑傲江湖（全四册）,金庸 ,无翻译者, 生活·读书·新知三联书店 , 1994-5 , 76.80元,9.0,84333,欲练此功，必先自宫
杀死一只知更鸟,[美] 哈珀·李 , 高红梅 , 译林出版社 , 2012-9 , 32.00元,9.2,67417,有一种东西不能遵循从众原则，那就是——人的良心
月亮和六便士,[英] 毛姆 , 傅惟慈 , 上海译文出版社 , 2006-8 , 15.00元,9.0,119547,有多少人会经历顿悟，就有更少的人甘愿自我放逐
肖申克的救赎,[美] 斯蒂芬·金 , 施寄青 , 人民文学出版社 , 2006-7 , 29.90元,9.1,80199,豆瓣电影Top1原著
基督山伯爵,大仲马 , 周克希 , 上海译文出版社 , 1991-12-1 , 43.90元,9.0,95423,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景
中国历代政治得失,钱穆 ,无翻译者, 生活·读书·新知三联书店 , 2001 , 12.00元,9.2,39891,一部简明的“中国政治制度史”
追风筝的人,[美] 卡勒德·胡赛尼 , 李继宏 , 上海人民出版社 , 2006-5 , 29.00元,8.9,621537,为你，千千万万遍
东方快车谋杀案,[英] 阿加莎·克里斯蒂 , 陈尧光 , 人民文学出版社 , 2006-5 , 18.00元,9.0,90403,谋杀诡计惊人，波洛的抉择耐人寻味
万历十五年,[美] 黄仁宇 ,无翻译者, 生活·读书·新知三联书店 , 1997-5 , 18.00元,8.9,135525,见微知著，历史观的颠覆
嫌疑人X的献身,[日] 东野圭吾 , 刘子倩 , 南海出版公司 , 2008-9 , 28.00,8.9,391860,数学好是一种极致的浪漫
夹边沟记事,杨显惠 ,无翻译者, 花城出版社 , 2008-09 , 34.00元,9.2,25095,一段尘封四十年的历史
江城,[美] 彼得·海斯勒 , 李雪顺 , 上海译文出版社 , 2012-1 , 36.00元,9.0,35048,外国人眼中的涪陵
寻路中国,[美] 彼得·海斯勒 , 李雪顺 , 上海译文出版社 , 2011-1 , 33.00元,9.0,39849,《纽约客》驻北京记者驾车漫游中国大陆的经历
刀锋,[英]毛姆 , 周煦良 , 上海译文出版社 , 2007-3 , 18.00元,9.0,51549,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
呐喊,鲁迅 ,无翻译者, 人民文学出版社 , 1973年3月 , 0.36元,8.9,84013,新文学的第一声呐喊
射雕英雄传（全四册）,金庸 ,无翻译者, 生活·读书·新知三联书店 , 1999-04 , 47.00元,9.0,60967,侠之大者，为国为民
冰与火之歌,[美]乔治·R.R.马丁 , 谭光磊 , 重庆出版社 , 2013-10-1 , 330.00元,9.5,7450,乔治·R·R·马丁史诗奇幻小说
傲慢与偏见,[英] 奥斯丁 , 张玲 , 人民文学出版社 , 1993-7 , 13.00元,8.8,178193,所有现代言情小说的母体
城南旧事,林海音 文 ,无翻译者, 中国青年出版社 , 2003-7 , 16.00元,9.0,91062,长亭外，古道边，芳草碧连天
新名字的故事,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2017-4 , 59.00元,9.0,39962,探索青年时代的激情、困惑、挣扎、背叛和失去
乡土中国,费孝通 ,无翻译者, 上海人民出版社 , 2006-4 , 38.00,9.2,31515,中国乡土社会传统文化和社会结构理论研究代表作
格林童话全集,[德国]格林兄弟 , 魏以新 , 人民文学出版社 , 1994-11 , 21.45元,9.0,64968,一本有教育意义的书
黄金时代,王小波 ,无翻译者, 花城出版社 , 1999-3 , 19.00元,8.8,118371,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
失踪的孩子,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2018-6-1 , 62,9.1,30285,我的整个生命，只是一场为了提升社会地位的低俗斗争。
我与地坛,史铁生 ,无翻译者, 春风文艺出版社 , 2002-5 , 25.00元,9.1,53716,这是你的罪孽与福祉
历史深处的忧虑,林达 ,无翻译者, 生活·读书·新知三联书店 , 1997-5 , 19.00元,9.0,35280,窥见美国社会的一扇窗
无人生还,[英] 阿加莎・克里斯蒂 , 祁阿红 , 人民文学出版社 , 2008-3 , 19.00,8.9,92370,童谣杀人案
文学回忆录（全2册）,木心 口述 ,无翻译者, 广西师范大学出版社 , 2013-1-10 , 98.00元,9.2,32026,木心留给世界的礼物
神雕侠侣,金庸 , 有1996年11月北平第4次印本 , 生活·读书·新知三联书店 , 1994-5 , 76.80元,8.9,76866,至情至性，情大于武
上帝掷骰子吗,曹天元 ,无翻译者, 辽宁教育出版社 , 2006-1 , 32.00元,9.2,20514,量子物理史话
史记（全十册）,司马迁 , （索引）司马贞，（正义）张守节 , 中华书局 , 1982-11 , 125.00,9.5,15673,史家之绝唱，无韵之离骚
悲惨世界（上中下）,[法] 雨果 , 李丹 , 人民文学出版社 , 1992-6 , 66.00元,9.0,46958,现实主义与浪漫主义的至高杰作
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich) , 范景中 , 广西美术出版社 , 2008-04 , 280.00,9.6,13520,从最早的洞窟绘画到当今的实验艺术
许三观卖血记,余华 ,无翻译者, 南海出版公司 , 1998-9 , 16.80元,8.8,181801,以博大的温情描绘磨难中的人生
哭泣的骆驼,三毛 ,无翻译者, 哈尔滨出版社 , 2003-6 , 15.80元,8.9,42852,沙漠中寻常的生与死
书名,作者,翻译者,出版社,出版时间,价格,评分,评价人数,豆瓣点评
红楼梦,[清] 曹雪芹 著 ,无翻译者, 人民文学出版社 , 1996-12 , 59.70元,9.6,271706,都云作者痴，谁解其中味？
活着,余华 ,无翻译者, 作家出版社 , 2012-8-1 , 20.00元,9.4,448730,生的苦难与伟大
百年孤独,[哥伦比亚] 加西亚·马尔克斯 , 范晔 , 南海出版公司 , 2011-6 , 39.50元,9.2,275606,魔幻现实主义文学代表作
1984,[英] 乔治·奥威尔 , 刘绍铭 , 北京十月文艺出版社 , 2010-4-1 , 28.00,9.3,134483,栗树荫下，我出卖你，你出卖我
飘,[美国] 玛格丽特·米切尔 , 李美华 , 译林出版社 , 2000-9 , 40.00元,9.3,148808,革命时期的爱情，随风而逝
三体全集,刘慈欣 ,无翻译者, 重庆出版社 , 2012-1-1 , 168.00元,9.4,33832,地球往事三部曲
三国演义（全二册）,[明] 罗贯中 ,无翻译者, 人民文学出版社 , 1998-05 , 39.50元,9.2,114115,是非成败转头空
白夜行,[日] 东野圭吾 , 刘姿君 , 南海出版公司 , 2013-1-1 , 39.50元,9.1,235160,一宗离奇命案牵出跨度近20年步步惊心的故事
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 ,无翻译者, 1981-8 , 53.00元,68.00元,9.2,86487,名侦探的代名词
动物农场,[英] 乔治·奥威尔 , 荣如德 , 上海译文出版社 , 2007-3 , 10.00元,9.2,82101,太阳底下并无新事
小王子,[法] 圣埃克苏佩里 , 马振聘 , 人民文学出版社 , 2003-8 , 22.00元,9.0,546058,献给长成了大人的孩子们
房思琪的初恋乐园,林奕含 ,无翻译者, 北京联合出版公司 , 2018-1 , 45.00元,9.2,153999,向死而生的文学绝唱
天龙八部,金庸 ,无翻译者, 生活.读书.新知三联书店 , 1994-5 , 96.0,9.1,97465,有情皆孽，无人不冤
撒哈拉的故事,三毛 ,无翻译者, 哈尔滨出版社 , 2003-8 , 15.80元,9.2,62595,游荡的自由灵魂
安徒生童话故事集,（丹麦）安徒生 , 叶君健 , 人民文学出版社 , 1997-08 , 25.00元,9.2,81625,为了争取未来的一代
哈利•波特,J.K.罗琳 (J.K.Rowling) ,无翻译者, 人民文学出版社 , 2008-12-1 , 498.00元,9.7,11196,从9¾站台开始的旅程
人类简史,[以色列] 尤瓦尔·赫拉利 , 林俊宏 , 中信出版社 , 2014-11 , CNY 68.00,9.1,121770,跟着人类一同走过十万年
沉默的大多数,王小波 ,无翻译者, 中国青年出版社 , 1997-10 , 27.00元,9.1,93454,沉默是沉默者的通行证
围城,钱锺书 ,无翻译者, 人民文学出版社 , 1991-2 , 19.00,8.9,357304,幽默的语言和对生活深刻的观察
平凡的世界（全三部）,路遥 ,无翻译者, 人民文学出版社 , 2005-1 , 64.00元,9.0,238030,中国当代城乡生活全景
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 , 杨玲 , 南海出版公司 , 2012-9-1 , 39.50元,9.0,170982,义无反顾地直达爱情的核心
明朝那些事儿（1-9）,当年明月 ,无翻译者, 中国海关出版社 , 2009-4 , 358.20元,9.1,74930,不拘一格的历史书写
局外人,[法] 阿尔贝·加缪 , 柳鸣九 , 上海译文出版社 , 2010-8 , 22.00元,9.0,116340,人生在世，永远也不该演戏作假
笑傲江湖（全四册）,金庸 ,无翻译者, 生活·读书·新知三联书店 , 1994-5 , 76.80元,9.0,84333,欲练此功，必先自宫
杀死一只知更鸟,[美] 哈珀·李 , 高红梅 , 译林出版社 , 2012-9 , 32.00元,9.2,67417,有一种东西不能遵循从众原则，那就是——人的良心
月亮和六便士,[英] 毛姆 , 傅惟慈 , 上海译文出版社 , 2006-8 , 15.00元,9.0,119547,有多少人会经历顿悟，就有更少的人甘愿自我放逐
肖申克的救赎,[美] 斯蒂芬·金 , 施寄青 , 人民文学出版社 , 2006-7 , 29.90元,9.1,80200,豆瓣电影Top1原著
基督山伯爵,大仲马 , 周克希 , 上海译文出版社 , 1991-12-1 , 43.90元,9.0,95423,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景
中国历代政治得失,钱穆 ,无翻译者, 生活·读书·新知三联书店 , 2001 , 12.00元,9.2,39891,一部简明的“中国政治制度史”
追风筝的人,[美] 卡勒德·胡赛尼 , 李继宏 , 上海人民出版社 , 2006-5 , 29.00元,8.9,621537,为你，千千万万遍
东方快车谋杀案,[英] 阿加莎·克里斯蒂 , 陈尧光 , 人民文学出版社 , 2006-5 , 18.00元,9.0,90404,谋杀诡计惊人，波洛的抉择耐人寻味
万历十五年,[美] 黄仁宇 ,无翻译者, 生活·读书·新知三联书店 , 1997-5 , 18.00元,8.9,135525,见微知著，历史观的颠覆
嫌疑人X的献身,[日] 东野圭吾 , 刘子倩 , 南海出版公司 , 2008-9 , 28.00,8.9,391860,数学好是一种极致的浪漫
夹边沟记事,杨显惠 ,无翻译者, 花城出版社 , 2008-09 , 34.00元,9.2,25095,一段尘封四十年的历史
江城,[美] 彼得·海斯勒 , 李雪顺 , 上海译文出版社 , 2012-1 , 36.00元,9.0,35049,外国人眼中的涪陵
寻路中国,[美] 彼得·海斯勒 , 李雪顺 , 上海译文出版社 , 2011-1 , 33.00元,9.0,39849,《纽约客》驻北京记者驾车漫游中国大陆的经历
刀锋,[英]毛姆 , 周煦良 , 上海译文出版社 , 2007-3 , 18.00元,9.0,51549,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
呐喊,鲁迅 ,无翻译者, 人民文学出版社 , 1973年3月 , 0.36元,8.9,84013,新文学的第一声呐喊
射雕英雄传（全四册）,金庸 ,无翻译者, 生活·读书·新知三联书店 , 1999-04 , 47.00元,9.0,60967,侠之大者，为国为民
冰与火之歌,[美]乔治·R.R.马丁 , 谭光磊 , 重庆出版社 , 2013-10-1 , 330.00元,9.5,7450,乔治·R·R·马丁史诗奇幻小说
傲慢与偏见,[英] 奥斯丁 , 张玲 , 人民文学出版社 , 1993-7 , 13.00元,8.8,178193,所有现代言情小说的母体
城南旧事,林海音 文 ,无翻译者, 中国青年出版社 , 2003-7 , 16.00元,9.0,91062,长亭外，古道边，芳草碧连天
新名字的故事,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2017-4 , 59.00元,9.0,39962,探索青年时代的激情、困惑、挣扎、背叛和失去
乡土中国,费孝通 ,无翻译者, 上海人民出版社 , 2006-4 , 38.00,9.2,31515,中国乡土社会传统文化和社会结构理论研究代表作
格林童话全集,[德国]格林兄弟 , 魏以新 , 人民文学出版社 , 1994-11 , 21.45元,9.0,64968,一本有教育意义的书
黄金时代,王小波 ,无翻译者, 花城出版社 , 1999-3 , 19.00元,8.8,118371,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
失踪的孩子,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2018-6-1 , 62,9.1,30285,我的整个生命，只是一场为了提升社会地位的低俗斗争。
我与地坛,史铁生 ,无翻译者, 春风文艺出版社 , 2002-5 , 25.00元,9.1,53718,这是你的罪孽与福祉
历史深处的忧虑,林达 ,无翻译者, 生活·读书·新知三联书店 , 1997-5 , 19.00元,9.0,35280,窥见美国社会的一扇窗
无人生还,[英] 阿加莎・克里斯蒂 , 祁阿红 , 人民文学出版社 , 2008-3 , 19.00,8.9,92370,童谣杀人案
文学回忆录（全2册）,木心 口述 ,无翻译者, 广西师范大学出版社 , 2013-1-10 , 98.00元,9.2,32026,木心留给世界的礼物
神雕侠侣,金庸 , 有1996年11月北平第4次印本 , 生活·读书·新知三联书店 , 1994-5 , 76.80元,8.9,76866,至情至性，情大于武
上帝掷骰子吗,曹天元 ,无翻译者, 辽宁教育出版社 , 2006-1 , 32.00元,9.2,20514,量子物理史话
史记（全十册）,司马迁 , （索引）司马贞，（正义）张守节 , 中华书局 , 1982-11 , 125.00,9.5,15673,史家之绝唱，无韵之离骚
悲惨世界（上中下）,[法] 雨果 , 李丹 , 人民文学出版社 , 1992-6 , 66.00元,9.0,46958,现实主义与浪漫主义的至高杰作
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich) , 范景中 , 广西美术出版社 , 2008-04 , 280.00,9.6,13520,从最早的洞窟绘画到当今的实验艺术
许三观卖血记,余华 ,无翻译者, 南海出版公司 , 1998-9 , 16.80元,8.8,181801,以博大的温情描绘磨难中的人生
哭泣的骆驼,三毛 ,无翻译者, 哈尔滨出版社 , 2003-6 , 15.80元,8.9,42852,沙漠中寻常的生与死
